State,Year,Law Passed,Law Link,Law Description,my_label,Reasoning,model_label,pro_immigration_score,top_trigger_words
Illinois,2025,HB4194 - DAY CARE-IMMIGRATION ENFORCE,https://legiscan.com/IL/bill/HB4194/2025,"Amends the Child Care Act of 1969. Provides that a licensed day care center shall not disclose or threaten to disclose to any other person, entity, or agency information regarding or relating to the actual or perceived citizenship or immigration status of a child or an associated person, unless disclosure is required by State or federal law. Requires the Department of Children and Family Services or the Department of Early Childhood, as is applicable, to make available on its website specified resources for families. Provides that, if a child's parent or guardian directly faces immigration enforcement action, a licensed day care center shall use the child's emergency contact information and release the child to the persons designated as the child's emergency contacts or into the custody of an individual who presents a properly executed appointment of short-term guardian form on behalf of the child. Sets forth provisions requiring a licensed day care center to adopt certain policies concerning consent to disclosure. Provides that the policies shall not have the effect of excluding or discouraging a child from any program at the licensed day care center because of the actual or perceived immigration status of the child or the child's parent or guardian. Establishes enforcement provisions for violations of disclosure provisions. Effective immediately.",,,Pro-Immigration,0.534,"child, information, day, licensed day, day care"
Illinois,2026,SR0588 - URGES-ABOLISH ICE,https://legiscan.com/IL/bill/SR0588/2025,"Urges the 119th United States Congress to abolish U.S. Immigration and Customs Enforcement (ICE). Urges Congress to implement an orderly and just transfer of essential and basic legally required functions in a manner that upholds values of due process, equality under the law, and family unity upon or before the abolition of ICE.",,,Pro-Immigration,0.5393,"ice, process, enforcement, immigration, family"
Illinois,2026,HB2731 - VICTIM CENTERED APPROACH ACT,https://legiscan.com/IL/bill/HB2731/2025,"Creates the Equal Justice for Immigrant Crime Victims Pilot Program Act. Provides that the Lake County State's Attorney may represent a person before the United States Citizenship and Immigration Services Office administrative body if (1) the person is a noncitizen who has never been placed in removal proceedings; (2) the Lake County State's Attorney believes the person is a victim of qualifying criminal activity because of a crime that occurred in Lake County; (3) the person is not barred from the immigration remedies before the administrative body; and (4) the Lake County State's Attorney may represent the person without creating a conflict of interest for the Lake County State's Attorney under the Illinois Rules of Professional Conduct. Provides that the Lake County State's Attorney may adopt policies and procedures as the State's Attorney deems necessary to implement, administer, and carry out the purposes of the Act. Provides that the Lake County State's Attorney may initiate representation of noncitizen victims of qualifying crimes under the Act on or before December 31, 2031. Makes conforming changes in the Counties Code. Effective January 1, 2027.",,,Pro-Immigration,0.5067,"victim, body, illinois, qualifying, represent"
Illinois,2025,HB4105 - ARREST-IMMIGRATION STATUS,https://legiscan.com/IL/bill/HB4105/2025,"Amends the Code of Criminal Procedure of 1963. Provides that notwithstanding any other law to the contrary, a peace officer who arrests a person for a felony and reasonably believes that the person arrested is residing in the United States in violation of the federal Immigration and Nationality Act, may inquire about the immigration status of the person arrested. Provides that the peace officer may notify U.S. Immigration and Customs Enforcement of the person's arrest and pending prosecution when the peace officer reasonably believes that the person arrested for a felony is residing in the United States in violation of the federal Immigration and Nationality Act. Provides that upon request from any federal agency, law enforcement agencies shall provide known immigration status of any person arrested or charged with a felony. Amends the Illinois TRUST Act to make conforming changes.",,,Pro-Immigration,0.5121,"immigration, illinois, enforcement, officer, federal"
Illinois,2025,SJR0011 - SCHOOLS-FEDS-NO COOPERATION,https://legiscan.com/IL/bill/SJR0011/2025,"Calls on school districts and school boards to pass resolutions that (1) Designate Illinois schools to be a safe haven for all students, school staff, and families threatened by immigration enforcement, discrimination, and stop and frisk policies to the fullest extent permitted by law, (2) Prevent the release of information or assist ICE and/or local law enforcement, (3) Require agencies it holds intergovernmental agreements with to uphold the determinations outlined in this resolution, (4) Abstain from using Illinois school resources for detecting or assisting in the apprehension of persons who may be targeted in immigration enforcement, (5) Deny the U.S. Department of Homeland Security's access to school databases, facilities, equipment, personnel, and other resources for purposes of implementing registries, (6) Reject any effort to create religious litmus tests or screenings for individuals or families to navigate the immigration process and, most importantly, reject any federal or state effort to create a registry of individuals based on religion or ethnicity, and (7) Oppose any existing or future federal mandates to implement stop and frisk policies in and around schools.",,,Pro-Immigration,0.5846,"school, immigration enforcement, illinois, families, enforcement"
Illinois,2026,SB3167 - SNAP-HUMANITARIAN IMMIGRANT,https://legiscan.com/IL/bill/SB3167/2025,"Amends the Survivor Support and Trafficking Prevention Article of the Illinois Public Aid Code. Extends eligibility for State funded cash assistance and SNAP benefits to humanitarian immigrants, subject to available funding, if they are not eligible for such benefits solely due to citizenship or immigration status requirements but otherwise meet the financial and nonfinancial factors of eligibility. Lists the classes of humanitarian immigrants eligible for SNAP benefits under the Article. Provides that any individual residing in an institution or other setting that provides the majority of the individual's daily meals is not eligible for SNAP benefits. Exempts persons who do not have legal authorization to work from the statutory work requirements. Makes other changes. Effective immediately.",,,Pro-Immigration,0.5257,"immigrants, illinois, requirements, individual, work"
Illinois,2026,HB4831 - SNAP-HUMANITARIAN IMMIGRANT,https://legiscan.com/IL/bill/HB4831/2025,"Amends the Survivor Support and Trafficking Prevention Article of the Illinois Public Aid Code. Extends eligibility for State funded cash assistance and SNAP benefits to humanitarian immigrants, subject to available funding, if they are not eligible for such benefits solely due to citizenship or immigration status requirements but otherwise meet the financial and nonfinancial factors of eligibility. Lists the classes of humanitarian immigrants eligible for SNAP benefits under the Article. Provides that any individual residing in an institution or other setting that provides the majority of the individual's daily meals is not eligible for SNAP benefits. Exempts persons who do not have legal authorization to work from the statutory work requirements. Makes other changes. Effective immediately.",,,Pro-Immigration,0.5257,"immigrants, illinois, requirements, individual, work"
Illinois,2025,HB3549 - CRIM PRO-VACATING SENTENCE,https://legiscan.com/IL/bill/HB3549/2025,"Amends the Code of Criminal Procedure of 1963. Provides that any person may file a petition to vacate a conviction or sentence, regardless of criminal custody status or citizenship or immigration status, as defined in the Illinois TRUST Act, if the person asserts that: (1) the conviction or sentence is legally invalid due to prejudicial error damaging the petitioner's ability to meaningfully understand, defend against, or knowingly accept the actual or potential adverse immigration consequences of a conviction or sentence; or (2) newly discovered evidence of actual innocence exists that requires vacation of the conviction or sentence as a matter of law or in the interests of justice. Provides that such a petition shall be deemed timely filed at any time notwithstanding any other provision of law. Provides that the time limitations for petitions filed in the trial court under the Post-Conviction Hearing Article of the Code do not apply to a petition filed under this provision. Amends the Code of Civil Procedure. Provides that a provision granting relief from a final order or judgment entered based on a plea of guilty or nolo contendere and that has potential consequences under federal immigration law applies to orders or judgments entered before, on, or after the effective date of the amendatory Act.",,,Pro-Immigration,0.5061,"illinois, immigration, code, potential, citizenship"
Illinois,2025,SB1266 - CRIM PRO-VACATING SENTENCE,https://legiscan.com/IL/bill/SB1266/2025,"Amends the Code of Criminal Procedure of 1963. Provides that any person may file a petition to vacate a conviction or sentence, regardless of criminal custody status or citizenship or immigration status, as defined in the Illinois TRUST Act, if the person asserts that: (1) the conviction or sentence is legally invalid due to prejudicial error damaging the petitioner's ability to meaningfully understand, defend against, or knowingly accept the actual or potential adverse immigration consequences of a conviction or sentence; or (2) newly discovered evidence of actual innocence exists that requires vacation of the conviction or sentence as a matter of law or in the interests of justice. Provides that such a petition shall be deemed timely filed at any time notwithstanding any other provision of law. Provides that the time limitations for petitions filed in the trial court under the Post-Conviction Hearing Article of the Code do not apply to a petition filed under this provision. Amends the Code of Civil Procedure. Provides that a provision granting relief from a final order or judgment entered based on a plea of guilty or nolo contendere and that has potential consequences under federal immigration law applies to orders or judgments entered before, on, or after the effective date of the amendatory Act.",,,Pro-Immigration,0.5061,"illinois, immigration, code, potential, citizenship"
Illinois,2026,HB4367 - CRIM PRO-VACATING SENTENCE,https://legiscan.com/IL/bill/HB4367/2025,"Amends the Code of Criminal Procedure of 1963. Provides that any person may file a petition to vacate a conviction or sentence, regardless of criminal custody status or citizenship or immigration status, as defined in the Illinois TRUST Act, if the person asserts that: (1) the conviction or sentence is legally invalid due to prejudicial error damaging the petitioner's ability to meaningfully understand, defend against, or knowingly accept the actual or potential adverse immigration consequences of a conviction or sentence; or (2) newly discovered evidence of actual innocence exists that requires vacation of the conviction or sentence as a matter of law or in the interests of justice. Provides that such a petition shall be deemed timely filed at any time notwithstanding any other provision of law. Provides that the time limitations for petitions filed in the trial court under the Post-Conviction Hearing Article of the Code do not apply to a petition filed under this provision. Amends the Code of Civil Procedure. Provides that a provision granting relief from a final order or judgment entered based on a plea of guilty or nolo contendere and that has potential consequences under federal immigration law applies to orders or judgments entered before, on, or after the effective date of the amendatory Act.",,,Pro-Immigration,0.5061,"illinois, immigration, code, potential, citizenship"
Illinois,2026,HB5264 - DCEO-SMALL BUSINESS LOANS,https://legiscan.com/IL/bill/HB5264/2025,"Reinserts the provisions of the introduced bill with changes. Provides that the Department of Commerce and Economic Opportunity shall establish a loan program to provide low interest loans to small businesses that have been negatively impacted by an economic shock (in the introduced bill, federal immigration enforcement). Renames the Federal Immigration Recovery Fund the Economic Recovery Fund. Provides that the Department of Commerce and Economic Opportunity is authorized to provide participating lenders with an administrative or origination fee, in an amount determined by the Department, to cover the costs of loan origination and servicing. Provides that the State shall provide a 100% guarantee on loans issued under the amendatory Act. Provides that participating lenders shall act as originators and servicers of loans and shall not be required to deploy their own capital. Effective immediately.",,,Pro-Immigration,0.5218,"immigration enforcement, provide, shall, immigration, federal"
Illinois,2025,SB1846 - FAMILY PLANNING SERVICES,https://legiscan.com/IL/bill/SB1846/2025,Amends the Administration Article of the Illinois Public Aid Code. Requires the Department of Healthcare and Family Services to provide persons lawfully admitted for permanent residence under the Immigration and Nationality Act and other people of all immigration statuses the same medical coverage for family planning and family planning-related services and supplies as provided under Article V of the Code to eligible persons who are United States citizens. Requires lawful permanent residents and other people of all immigration statuses to meet all other eligibility qualifications under the HFS Family Planning Program in order to be eligible for family planning and family planning-related services and supplies under the amendatory Act. Prohibits the Department from requiring eligible lawful permanent residents or other people of all immigration statuses to complete a mandatory waiting period as a condition of receiving family planning and family planning-related services.,,,Pro-Immigration,0.5239,"family, immigration, illinois, people, services"
Illinois,2025,HB3279 - FAMILY PLANNING FOR ALL,https://legiscan.com/IL/bill/HB3279/2025,"Amends the Administration Article of the Illinois Public Aid Code. Requires the Department of Healthcare and Family Services to provide persons lawfully admitted for permanent residence under the Immigration and Nationality Act and other people of all immigration statuses the same medical coverage for family planning and family planning-related services and supplies as provided under the Medical Assistance Program to eligible persons who are United States citizens. Provides that to be eligible for family planning and related services, lawful permanent residents or other people of all immigration statuses must meet all other eligibility qualifications under the HFS Family Planning Program established in accordance with the Illinois' Family Planning State Plan Amendment as approved by the federal Centers for Medicare and Medicaid Services. Provides that the Department shall not require lawful permanent residents or other people of all immigration statuses who are otherwise eligible for family planning and related services under the amendatory Act to complete a mandatory waiting period as a condition of receiving medical coverage.",,,Pro-Immigration,0.5275,"illinois, family, immigration, people, services"
Illinois,2026,SB2820 - BAN HIRING OF ICE OFFICERS,https://legiscan.com/IL/bill/SB2820/2025,"Creates the Prohibited Hiring of Federal Immigration Officers Act. Provides that a law enforcement agency may not hire as a law enforcement officer any person who was hired as a federal immigration officer by the U.S. Department of Immigration and Customs Enforcement between January 20, 2025 and January 20, 2029. Defines ""federal immigration officer"", ""law enforcement agency"", ""law enforcement officer"", and ""local law enforcement agency"". Limits the concurrent exercise of home rule powers.",,,Pro-Immigration,0.5272,"enforcement, agency, immigration, officer, federal"
Illinois,2025,SB1252 - STANDARD ID-DOCUMENTATION,https://legiscan.com/IL/bill/SB1252/2025,"Amends the Illinois Identification Card Act. Changes the definition of ""limited term REAL ID compliant identification card"". In a provision regarding applications, removes language providing that the Secretary of State may accept, as proof of date of birth and written signature for any applicant for a standard identification card who does not have a social security number or documentation issued by the United States Department of Homeland Security authorizing the applicant's presence in the country, any passport validly issued to the applicant from the applicant's country of citizenship or a consular identification document validly issued to the applicant by a consulate of that country. In a provisions regarding records, removes language providing that the Secretary: (1) may not release highly restricted personal information or personally identifying information or disclose specified documents to any immigration agent, unless necessary to comply with specified situations; and (2) shall not enter into or maintain any agreement regarding the sharing of any highly restricted personal information or personally identifying information or specified documents unless all other parties to such agreement certify that the information obtained will not be used for civil immigration purposes or knowingly disseminated to any third party for any purpose related to civil immigration enforcement. Makes other and conforming changes. Amends the Illinois Vehicle Code. Changes the definition of ""limited term Real ID compliant driver's license"". In a provision regarding the application for license or instruction permit, removes language providing that if an applicant is applying for a standard driver's license and, on the date of application, is ineligible for a social security number, then if the applicant does not have specified documentation the applicant may provide other specified documentation. Repeals a provision regarding the restrictions on the use of information for certain purposes. Makes other and conforming changes.",,,Pro-Immigration,0.5437,"information, illinois, immigration enforcement, immigration, identification"
Illinois,2025,HB3571 - COMMUNITY TRUST ACT,https://legiscan.com/IL/bill/HB3571/2025,"Creates the Community-Based Organization TRUST Act. Provides that, unless presented with a federal criminal warrant, or otherwise required by federal law, a community-based organization that receives grants or any other appropriation from the State shall not provide contact information or information concerning citizenship or immigration status in response to any immigration agent's inquiry or request for information regarding any individual. Provides that the Attorney General shall enforce the provisions of the Act. Provides that the Attorney General may adopt rules to administer and enforce the Act. Effective immediately.",,,Pro-Immigration,0.5195,"information, community, request, immigration, federal"
Illinois,2026,SB3976 - PATIENT BILL & OUTSOURCED CARE,https://legiscan.com/IL/bill/SB3976/2025,"Amends the Fair Patient Billing Act. Makes changes to findings and defined terms provisions. Provides that a hospital shall not deny any protection or benefit of the Act on the basis of a patient's citizenship or immigration status or assets or prospective assets. Provides that a patient who inquires about a denial of financial assistance in whole or in part must be permitted to appeal the decision within at least 90 days. Requires a hospital to use only a uniform financial assistance form developed and provided by the Attorney General no later than December 31, 2026. Provides that every hospital bill and every collection notice must notify the patient, in the patient's preferred language, of the availability of hospital financial assistance and charity care. Establishes further provisions concerning hospitals pursuing collection actions; outsourced health care services; patient responsibilities; and applicability of the Act. Amends the Hospital Uninsured Patient Discount Act. Sets forth provisions concerning uninsured patient discounts for specified income levels. Prohibits hospitals from making the availability of a discount under the Act contingent upon the uninsured patient first applying for coverage under public health insurance programs. Provides that patients may not be denied a discount under the Act on the basis of citizenship or immigration status or assets or prospective assets. Makes other changes concerning uninsured patient discounts, outsourcing health care services, and patient responsibilities. Effective immediately.",,,Pro-Immigration,0.5172,"hospital, citizenship, form, citizenship immigration, immigration"
Illinois,2025,SB2685 - UNMASKED FEDERAL ENFORCEMENT,https://legiscan.com/IL/bill/SB2685/2025,"Creates the Unmasked Federal Enforcement Transparency Act. Provides that an officer, agent, employee, or contractor of the U.S. Immigration and Customs Enforcement, Enforcement and Removal Operations, Homeland Security Investigations, or any other component of the U.S. Department of Homeland Security engaged in immigration-related arrests, detentions, or field investigations in Illinois shall not wear a face covering or otherwise intentionally conceal the officer's or agent's face or identity while conducting or participating in an enforcement action in the State. Provides that a temporary face covering may be used only when the supervising officer documents, in writing, an immediate and specific safety threat that cannot be mitigated by other means. Provides that during an enforcement action, a covered federal officer or agent shall display: (1) a clearly visible name or unique identification number; and (2) a clearly visible insignia or marking identifying the officer's federal agency. Provides that use of unmarked uniforms or equipment that obscures agency affiliation is prohibited during public-facing enforcement activity. Provides that no State agency, unit of local government, or law enforcement officer shall materially assist, coordinate with, or provide resources to any enforcement action that violates these provisions. Provides that the Attorney General may receive and investigate complaints of violations of the Act, may issue subpoenas, and may bring a civil action for declaratory or injunctive relief in any court of competent jurisdiction. Provides that no employee or contractor of a State or local governmental entity shall be retaliated against for reporting a violation of the Act to the Attorney General. Preempts home rule. Defines terms. Contains a severability provision. Effective immediately.",,,Pro-Immigration,0.5271,"enforcement, agency, officer, local, illinois"
Illinois,2025,HJR0004 - BLACK IMMIGRANT TF-EXTENDS,https://legiscan.com/IL/bill/HJR0004/2025,"Extends the due date for the Task Force on Black Immigrants to report its findings and recommendations to the General Assembly as required by House Joint Resolution 18 of the 103rd General Assembly to no later than December 31, 2025.",,,Pro-Immigration,0.5159,"2025, immigrants, general assembly, assembly, required"
Illinois,2026,HR0652 - ICE-ELECTIONS/POLLING PLACES,https://legiscan.com/IL/bill/HR0652/2025,"Affirms voting is a protected civic activity that must be free from intimidation, fear, or the appearance of law enforcement surveillance unrelated to election administration. Declares immigration enforcement activity at or in the immediate vicinity of polling places, early voting locations, ballot drop boxes, voter registration sites, and election offices undermines public confidence in elections and the democratic process. Urges all federal agencies, including U.S. Immigration and Customs Enforcement, to refrain from conducting civil immigration enforcement operations at or near locations where voting or election administration is taking place. Affirms the authority of the State of Illinois to administer elections without interference from unrelated federal enforcement activity. Encourages election authorities, in coordination with the Illinois State Board of Elections, to promote voter education and clear guidance to ensure voters understand their rights and feel safe participating in the electoral process.",,,Pro-Immigration,0.5551,"immigration enforcement, illinois, enforcement, process, activity"
Illinois,2025,HR0428 - SUPPORT-ICE,https://legiscan.com/IL/bill/HR0428/2025,"Expresses support to Immigration and Customs Enforcement (ICE), an agency within the United States Department of Homeland Security, for its efforts in enforcing federal immigration law. Recognizes ICE's role in cooperating with Illinois law enforcement to apprehend individuals who pose threats to public safety.",,,Pro-Immigration,0.5441,"ice, illinois, enforcement, agency, immigration"
Illinois,2025,HB4086 - CRIM CD-LAW ENFORCE-MASKS,https://legiscan.com/IL/bill/HB4086/2025,"Amends the Criminal Code of 2012. Provides that a law enforcement officer shall not wear any mask or neck gaiter while interacting with the public in the performance of the officer's duties, except for medical grade masks that are surgical or N95 respirators designed to prevent the transmission of airborne diseases and diseases, masks designed to protect against exposure to smoke during a state of emergency related to wildfires, or protective gear used by Special Weapons and Tactics (SWAT) team officers necessary to protect their faces from harm while they perform their SWAT responsibilities. Provides that ""mask"" does not include a face shield if it does not conceal the wearer's face and does not include a clear mask that does not conceal the wearer's face. Provides that while executing law enforcement duties, a law enforcement officer shall display on the uniform that the officer wears: (i) the officer's name or badge number and (ii) the agency in which the officer is employed. Provides that the provisions do not apply to an officer while the officer is engaged in an undercover assignment. Provides that moneys from fines received for convictions under this provision shall be deposited into a special fund in the State treasury to be known as the Immigrant Family Services Fund and shall be used by the Department of Human Services to provide immigrant family services as determined by the Secretary of Human Services. Establishes penalties for violations. Defines terms. Amends the State Finance Act to make conforming changes.",,,Pro-Immigration,0.5175,"officer, enforcement, services, shall, human services"
Illinois,2025,SB2729 - ILLINOIS BIVENS ACT,https://legiscan.com/IL/bill/SB2729/2025,"Creates the Illinois Bivens Act. Authorizes any resident of the State, other than an officer or employee of a State or local governmental entity in the State, to bring a civil action against any person who, while participating in civil immigration enforcement, knowingly engages in conduct that violates the Illinois Constitution or the United States Constitution. Establishes remedies for violations of the Act. Creates criteria that are to be used in determining the amount of punitive damages that will be awarded under the Act. Amends the Whistleblower Act. Provides that an employer may not take retaliatory action against an employee for disclosing or threatening to disclose in good faith a violation of the Illinois Bivens Act. Makes conforming changes to the definition of ""retaliatory action"". Makes the provisions of the Act severable. Effective immediately.",,,Pro-Immigration,0.5232,"illinois, immigration enforcement, employee, local, entity"
Illinois,2026,HR0857 - COMMENDS-JESUS G. GARCIA,https://legiscan.com/IL/bill/HR0857/2025,"Commends Jesus G. ""Chuy"" Garcia for his lifetime of dedicated public service to the State of Illinois and the nation. Commends him for his enduring legacy of strengthening representation for immigrant and working-class communities. Congratulates him on his retirement from public service, effective January 2027.",,,Pro-Immigration,0.51,"illinois, service"
Illinois,2025,HB3227 - BUDGET-UNDOCUMENTED IMMIGRANTS,https://legiscan.com/IL/bill/HB3227/2025,"Amends the State Budget Law of the Civil Administrative Code of Illinois. Provides that, for the fiscal year beginning July 1, 2026, and for each fiscal year thereafter, the budget shall include a separate line item request appropriating moneys to each State agency for: (1) estimated costs for services provided to undocumented immigrants and asylum seekers through various State grants, entitlements, or other programmatic services; and (2) expenditures for the previous fiscal year and estimated expenditures for the current fiscal year for services provided to undocumented immigrants and asylum seekers through various State grants, entitlements, or other programmatic services. Effective immediately.",,,Pro-Immigration,0.5257,"undocumented, immigrants, illinois, services, request"
Illinois,2025,HB3102 - SCH CD-NEW ARRIVAL GRANT,https://legiscan.com/IL/bill/HB3102/2025,"Amends the School Code. Provides that the State Board of Education shall implement and administer a program to make New Arrival Student Grants available to school districts to support the needs of students who are newly arriving immigrant students, regardless of immigration status. Provides that to receive a grant under this program, a school district shall submit an application to the State Board of Education at such time, in such manner, and containing or accompanied by such information as the State Board of Education may reasonably require. Provides that in awarding funds under this program, the State Board of Education may consider (i) the number of new arrival students enrolled in preschool, elementary school, and secondary school within the school district, (ii) the needs of new arrival students in the school district, and (iii) the ability of the school district to meet the needs of new arrival students. Effective July 1, 2025.",,,Pro-Immigration,0.5619,"school, education, students, board, district"
Illinois,2026,HR0622 - CONDEMNS-ICE-EXCESSIVE FORCE,https://legiscan.com/IL/bill/HR0622/2025,"Condemns the acts of excessive and deadly force deployed by federal agents of Immigration and Customs Enforcement (ICE), Customs and Border Patrol, Homeland Security Investigations, and others operating under the direction of President Donald J. Trump and Department of Homeland Security Secretary Kristi Noem. Calls for a fully independent investigation into all Department of Homeland Security-involved shootings, killings, and deaths in custody. Calls for the appointment of an independent counsel to prosecute agents, administrators, and political appointees found to have committed, directed, or covered up these acts of violence. Calls for the immediate resignation of Secretary Kristi Noem and calls for her immediate impeachment if she refuses to resign.",,,Pro-Immigration,0.5476,"agents, trump, ice, homeland security, homeland"
Illinois,2026,HB5456 - CRIM CD&CD CORR-HATE CRIME,https://legiscan.com/IL/bill/HB5456/2025,"Amends the Criminal Code of 2012. Provides that a hate crime is: (1) a Class 2 felony if committed by a person 18 years of age or older while armed with a firearm or if the victim of the hate crime is under 18 years of age; (2) a Class 1 felony if a crime of violence as defined in the Crime Victims Compensation Act is committed against a person by reason of the actual or perceived race, color, creed, religion, ancestry, gender, sexual orientation, physical or mental disability, citizenship, immigration status, or national origin of another individual or group of individuals; or (3) a Class 1 felony for which the person shall be sentenced to a term of imprisonment of not less than 4 years and not more than 15 years if a crime of violence that is a Class 1 felony is committed against a victim of a hate crime. Provides that the court may sentence a defendant who committed a hate crime to a term of natural life imprisonment if the underlying crime is first degree murder if the murder was committed by reason of the actual or perceived race, color, creed, religion, ancestry, gender, sexual orientation, physical or mental disability, citizenship, immigration status, or national origin of the victim or victims. Amends the Unified Code of Corrections. Provides that a period of probation, a term of periodic imprisonment or conditional discharge shall not be imposed for a conviction for a hate crime if: (1) committed by a person 18 years of age or older while armed with a firearm or if the victim of the hate crime is under 18 years of age; or (2) a crime of violence is committed against a person by reason of the actual or perceived race, color, creed, religion, ancestry, gender, sexual orientation, physical or mental disability, citizenship, immigration status, or national origin of another individual or group of individuals.",,,Pro-Immigration,0.5133,"victim, crime, citizenship, mental, citizenship immigration"
Illinois,2026,SB4066 - SCH CD-DRIVER ED-TRAFFIC STOPS,https://legiscan.com/IL/bill/SB4066/2025,"Amends the Driver Education Act of the School Code. Provides that driver education course instruction shall demonstrate the proper actions to be taken during a law enforcement traffic stop by drivers and passengers (instead of just the proper actions to be taken during a law enforcement traffic stop). Provides that, beginning with the 2027-2028 school year, the traffic stop instruction shall include the constitutional rights of drivers and passengers during a traffic stop, including, but not limited to, the right to remain silent, the right to refuse consent to a vehicle search unless law enforcement has lawful cause, the right to respectfully ask if one is free to leave, and the right to refuse to answer questions regarding immigration status, citizenship, or national origin, which instruction may be offered in a culturally responsive manner that reflects and affirms the diverse backgrounds, experiences, and needs of students in order to enhance understanding and support safe, informed interactions during traffic stops.",,,Pro-Immigration,0.54,"school, enforcement, education, right, students"
Illinois,2026,HB4467 - ICE-CBP TRACKER ACT,https://legiscan.com/IL/bill/HB4467/2025,Creates the ICE and CBP Tracker Act. Requires the Attorney General to create and maintain a statewide incident reporting system related to unlawful activity in Illinois by personnel employed by U.S. Immigration and Customs Enforcement and Customs and U.S. Border Protection. Makes legislative findings. Authorizes the Attorney General to adopt rules to implement the Act.,,,Pro-Immigration,0.5013,"ice, illinois, enforcement, activity, immigration"
Illinois,2026,SR0737 - RECOGNIZES-RAPID RESPONDERS,https://legiscan.com/IL/bill/SR0737/2025,"Recognizes the rapid responders of Illinois for their dedication, courage, and unwavering commitment to protecting and uplifting communities. Acknowledges the vital role rapid responders play in supporting immigrant families, promoting safety and awareness, and strengthening unity across all communities.",,,Pro-Immigration,0.5331,"illinois, families"
Illinois,2026,SJR0064 - RECOGNIZES-RAPID RESPONDERS,https://legiscan.com/IL/bill/SJR0064/2025,"Recognizes the rapid responders of Illinois for their dedication, courage, and unwavering commitment to protecting and uplifting communities. Acknowledges the vital role rapid responders play in supporting immigrant families, promoting safety and awareness, and strengthening unity across all communities.",,,Pro-Immigration,0.5331,"illinois, families"
Illinois,2026,HR0859 - COMMENDS-CENTRO SAN BONIFACIO,https://legiscan.com/IL/bill/HR0859/2025,"Commends Centro San Bonifacio on 35 years of extraordinary service to the immigrant community of Chicago. Honors the passion of Centro San Bonifacio's leadership, staff, and volunteers.",,,Pro-Immigration,0.5143,"community, staff, service"
Illinois,2026,SR0763 - RECOGNIZES-RAPID RESPONDERS,https://legiscan.com/IL/bill/SR0763/2025,"Recognizes the rapid responders of Illinois for their dedication, courage, and unwavering commitment to protecting and uplifting communities. Acknowledges the vital role rapid responders play in supporting immigrant families, promoting safety and awareness, and strengthening unity across all communities.",,,Pro-Immigration,0.5331,"illinois, families"
Illinois,2026,SR0772 - RECOGNIZES-RAPID RESPONDERS,https://legiscan.com/IL/bill/SR0772/2025,"Recognizes the rapid responders of Illinois for their dedication, courage, and unwavering commitment to protecting and uplifting communities. Acknowledges the vital role rapid responders play in supporting immigrant families, promoting safety and awareness, and strengthening unity across all communities.",,,Pro-Immigration,0.5331,"illinois, families"
Illinois,2026,HR0875 - RECOGNIZES-RAPID RESPONDERS,https://legiscan.com/IL/bill/HR0875/2025,"Recognizes the rapid responders of Illinois for their dedication, courage, and unwavering commitment to protecting and uplifting communities. Acknowledges the vital role rapid responders play in supporting immigrant families, promoting safety and awareness, and strengthening unity across all communities.",,,Pro-Immigration,0.5331,"illinois, families"
Illinois,2025,HB3364 - PRIVACY IN THE WORKPLACE,https://legiscan.com/IL/bill/HB3364/2025,"Amends the Right to Privacy in the Workplace Act. Provides that an employer enrolled in an Employment Eligibility Verification System, including the E-Verify program, shall not impose work authorization verification or re-verification requirements greater than those required by the Employment Eligibility Verification System. Provides that, if an employer receives notification from any federal agency or other outside third party not responsible for the enforcement of immigration law of a discrepancy as it relates to an employee's individual taxpayer identification number or other identifying documents, guarantees specified rights and protections to the employee. Makes changes in provisions concerning the administration and enforcement of the Act by the Department of Labor. Sets forth provisions concerning action for civil penalties brought by an interested party; private right of action; penalties; and review under the Administrative Review Law.",,,Pro-Immigration,0.5216,"employee, enforcement, employer, agency, right"
Illinois,2025,HR0057 - LIFEWAY FOODS-ACQUISITION,https://legiscan.com/IL/bill/HR0057/2025,"Commends Lifeway Foods, Inc. for its outstanding achievements and invaluable contributions to the State of Illinois and celebrates its dedication to excellence, innovation, and community enrichment. Expresses concerns regarding the potential acquisition of Lifeway Foods, Inc. by Danone North America PBC and urges all stakeholders to carefully consider the potential adverse effects on the Illinois economy and workforce. Reaffirms a commitment to supporting Illinois-based businesses like Lifeway Foods, Inc., especially founded by immigrants drawn to the freedom of our shores and nurtured in Illinois' economic climate, whose continued success and presence are essential to the State's economic health and prosperity.",,,Pro-Immigration,0.5342,"illinois, immigrants, potential, community, regarding"
Illinois,2025,SB1437 - CRIM CD-HATE CRIME,https://legiscan.com/IL/bill/SB1437/2025,"Amends the Criminal Code of 2012. Provides that a person commits hate crime when, by reason of the actual or perceived race, color, creed, religion, ancestry, gender, sexual orientation, physical or mental disability, citizenship, immigration status, or national origin of another individual or group of individuals, regardless of the existence of any other motivating factor or factors the person displays or causes to be displayed, on public or private property, a burning cross, a Nazi swastika, or a noose, with the intent to intimidate a person or group of persons or incite violence against a person or group of persons. Provides that the provisions of the amendatory Act are severable under the Statute on Statutes.",,,Pro-Immigration,0.5028,"persons, citizenship, crime, mental, citizenship immigration"
